Library Full Name,Library Number,Survey Year From,Ontario Library Service (OLS) Region (English),Type of Library Service (English),Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address
Simcoe County Co-operative,L0307,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",1110 HWY 26 ,1110 HWY 26 ,Midhurst,Ontario,L0L1X0,http://www.simcoe.ca/dpt/lib
Sioux Lookout,L0031,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 1028 ,21 Fifth Avenue ,Sioux Lookout,Ontario,P8T1B3,http://www.slpl.on.ca
Sioux Narrows Nestor Falls Twp,L0308,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 119 ,Hwy 71 ,Sioux Narrows,Ontario,P0X1N0,
Six Nations FN,L0420,2017,Southern Ontario Library Service,First Nations Library,P.O. Box 149 ,1679 Chiefswood Road ,Ohsweken,Ontario,N0A1M0,www.snpl.ca
Smiths Falls,L0209,2017,Southern Ontario Library Service,Public or Union Library,81 Beckwith Street North ,,Smiths Falls,Ontario,K7A2B9,www.smithsfallslibrary.ca
Smooth Rock Falls,L0310,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 670 ,120 Rue Ross ,Smooth Rock Falls,Ontario,P0L2B0,www.nt.net/smooth/index.html
South Algonquin Twp,L0311,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 208 ,Post Street ,Whitney,Ontario,K0J2M0,www.olsn.ca/southalgonquin
South River-Machar Union,L0312,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 190 ,63 Marie Street ,South River,Ontario,P0A1X0,http://www.olsn.ca/srmupl
Southgate Twp.,L0332,2017,Southern Ontario Library Service,Public or Union Library,Box 190 ,80 Proton St. N. ,Dundalk,Ontario,N0C1B0,www.southgate-library.com
Spanish Twp,L0381,2017,Ontario Library Service - North,Public or Union Library,8 Trunk Road P.O. Box 329 ,8 Trunk Road ,Spanish,Ontario,P0P2A0,www.town.spanish.on.ca/pages/library.asp
Springwater Twp,L0259,2017,Southern Ontario Library Service,Public or Union Library,12 Finlay Mill Rd. ,12 Finlay Mill Road ,Midhurst,Ontario,L9X0N7,http://www.springwater.library.on.ca
St. Catharines,L0025,2017,Southern Ontario Library Service,Public or Union Library,54 Church Street ,,St. Catharines,Ontario,L2R7K2,http://www.stcatharines.library.on.ca
St. Charles,L0313,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 40 ,"22 St Anne St, Fabien Gauthier Business Ctr ",St. Charles,Ontario,P0M2W0,www.olsn.ca/stcharles
St. Joseph Twp,L0314,2017,Ontario Library Service - North,Public or Union Library,1240 Richards Street P.O. Box  9 ,1240 Richards Street ,Richards Landing,Ontario,P0R1J0,http://www.olsn.ca/stjoseph/
St. Marys Public Library,L0271,2017,Southern Ontario Library Service,Public or Union Library,15 Church St. N. P.O. Box 700 ,15 Church St. North ,St. Marys,Ontario,N4X1B4,www.stmarys.library.on.ca
St. Thomas,L0315,2017,Southern Ontario Library Service,Public or Union Library,153 Curtis Street ,,St. Thomas,Ontario,N5P3Z7,www.st-thomas.library.on.ca
Stirling-Rawdon,L0318,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 730 ,43 West Front St. ,Stirling,Ontario,K0K3E0,www.stirlinglibrary.com
"Stormont, Dundas & Glengarry County",L0319,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",26 Pitt Street ,,Cornwall,Ontario,K6J3P2,www.sdglibrary.ca
Stratford,L0269,2017,Southern Ontario Library Service,Public or Union Library,19 St. Andrew Street ,19 St. Andrew Street ,Stratford,Ontario,N5A1A2,www.stratford.library.on.ca
Sundridge-Strong Union,L0284,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 429 ,110 Main Street ,Sundridge,Ontario,P0A1Z0,www.olsn.ca/sundridgestronglibrary
Tarbutt & Tarbutt Additional Twp,L0341,2017,Ontario Library Service - North,Contracting Municipality,27 Barr Road  R.R. #1 ,,Desbarats,Ontario,P0R1E0,www.tarbutttownship.com
Tay Twp,L0342,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 490 ,715 Fourth Avenue ,Port McNicoll,Ontario,L0K1R0,www.tay.library.on.ca
Tehkummah Twp,L0343,2017,Ontario Library Service - North,Public or Union Library,456 Hwy 542A ,Hwy 542A ,Tehkummah,Ontario,P0P2C0,tehklib@yahoo.ca
Temagami,L0021,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 220 ,"7 Lakeshore Drive, Welcome Centre ",Temagami,Ontario,P0H2H0,www.temagami.library.on.ca
Temagami FN,L0439,2017,Ontario Library Service - North,First Nations Library,General Delivery ,,Bear Island,Ontario,P0H1C0,www.temagamifirstnation.ca
Temiskaming Shores,L1037,2017,Ontario Library Service - North,Public or Union Library,P. O. Box 2090 ,545 Lakeshore Rd. ,Haileybury,Ontario,P0J1K0,www.temisklibrary.com
Terrace Bay Twp,L0344,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 369 ,13 Selkirk Avenue ,Terrace Bay,Ontario,P0T2W0,terracebay.library.on.ca
The Blue Mountains,L0065,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 580 ,173 Bruce Street South ,Thornbury,Ontario,N0H2P0,www.thebluemountainslibrary.ca
Thessalon,L0346,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 549 ,187 Main Street ,Thessalon,Ontario,P0R1L0,www.thesslibcap.com
Thessalon FN,L0422,2017,Ontario Library Service - North,First Nations Library,40 Sugarbush Rd. R.R. #2  ,,Thessalon,Ontario,P0R1L0,
"Thornloe, Village of",L0347,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 546 ,35 Tenth Street ,Earlton,Ontario,P0J1E0,www.armstrongtownship.com
Thorold,L0348,2017,Southern Ontario Library Service,Public or Union Library,14 Ormond Street North ,,Thorold,Ontario,L2V1Y8,www.thoroldpubliclibrary.ca
Thunder Bay,L0349,2017,Ontario Library Service - North,Public or Union Library,285 Red River Road ,,Thunder Bay,Ontario,P7B1A9,www.tbpl.ca
Timmins,L0351,2017,Ontario Library Service - North,Public or Union Library,320 Second Avenue ,,Timmins,Ontario,P4N8A4,http://tpl.timmins.ca
Tiny Twp,L0352,2017,Southern Ontario Library Service,Contracting Municipality,130 Balm Beach Rd w ,130 Balm Beach Road West ,Perkinsfield,Ontario,L0L2J0,www.tiny.ca
Toronto,L0353,2017,Toronto,Public or Union Library,789 Yonge Street ,,Toronto,Ontario,M4W2G8,www.torontopubliclibrary.ca
Trent Hills,L0500,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 509 ,98 Bridge St. E. ,Campbellford,Ontario,K0L1L0,trenthillslibrary@trenthills.ca
Trent Lakes,L0159,2017,Southern Ontario Library Service,Public or Union Library,5 George Street P.O. Box 10 ,5 George Street ,Buckhorn,Ontario,K0L1J0,www.trentlakeslibrary.ca
Tudor & Cashel Twp,L0450,2017,Southern Ontario Library Service,Public or Union Library,Box 430  R R 2 ,371 Weslemkoon Lake Road ,Gilmour,Ontario,K0L1W0,www.tudorandcashellibrary@yahoo.ca
Tweed,L0355,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 628 ,230 Metcalf Street ,Tweed,Ontario,K0K3J0,www.tweedlibrary.ca
Tyendinaga Twp,L0339,2017,Southern Ontario Library Service,Public or Union Library,852 Melrose Road ,,Shannonville,Ontario,K0K3A0,www.ttpl.ca
Uxbridge Twp,L0356,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 279 ,9 Toronto Street South ,Uxbridge,Ontario,L9P1P7,http://www.uxlib.com
Val Rita-Harty Twp,L0357,2017,Ontario Library Service - North,Public or Union Library,C.P. 69 ,106 Government Rd ,Val Rita,Ontario,P0L2G0,http://www.olsn.ca/valrita/
Vaughan,L0359,2017,Southern Ontario Library Service,Public or Union Library,2191 Major Mackenzie Drive ,2191 Major Mackenzie Drive ,Vaughan,Ontario,L6A4W2,www.vaughanpl.info
Wahta Mohawk FN,L0453,2017,Southern Ontario Library Service,First Nations Library,Box 260 ,2664 Muskoka Road 38 ,Bala,Ontario,P0C1A0,
Wainfleet Twp,L0362,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 118 ,31909 Park Street ,Wainfleet,Ontario,L0S1V0,www.wainfleetlibrary.ca
Wasaga Beach,L0364,2017,Southern Ontario Library Service,Public or Union Library,120 Glenwood Drive ,120 Glenwood Drive ,Wasaga Beach,Ontario,L9Z2K5,http://www.wasagabeach.library.on.ca
Wasauksing FN,L0423,2017,Ontario Library Service - North,First Nations Library,P.O. Box 250 ,1508 Lane G Geewadin Rd ,Parry Sound,Ontario,P2A2X4,librarian@wasauksing.ca
Waterloo City,L0365,2017,Southern Ontario Library Service,Public or Union Library,35 Albert Street ,,Waterloo,Ontario,N2L5E2,www.wpl.ca
Waterloo Region,L0270,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",150 Frederick Street 2nd Floor ,2017 Nafziger Road ,Baden,Ontario,N3A3H4,www.rwlibrary.ca
Wawa,L0178,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 1730 ,40 Broadway Ave ,Wawa,Ontario,P0S1K0,www.mtpl.on.ca
Welland,L0366,2017,Southern Ontario Library Service,Public or Union Library,50 The Boardwalk ,50 The Boardwalk ,Welland,Ontario,L3B6J1,http://www.wellandlibrary.ca
Wellington County,L0367,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",190 St Andrew St. W ,190 St Andrew St. W ,Fergus,Ontario,N1M1N5,http://www.wellington.ca/Library
West Grey Twp,L0336,2017,Southern Ontario Library Service,Public or Union Library,240 Garafraxa St. N. ,,Durham,Ontario,N0G1R0,www.westgreylibrary.com
West Lincoln Twp,L0370,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 28 ,318 Canborough Street ,Smithville,Ontario,L0R2A0,http://www.westlincolnlibrary.ca
West Nipissing,L0371,2017,Ontario Library Service - North,Public or Union Library,225 Holditch St Suite 107 ,,Sturgeon Falls,Ontario,P2B1T1,www.wnpl.ca
West Perth,L0372,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 100 ,105 St. Andrew St. ,Mitchell,Ontario,N0K1N0,http://www.westperth.library.on.ca
Westport,L0374,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 28 ,3 Spring St ,Westport,Ontario,K0G1X0,http://village.westport.on.ca/about-westport/westport-public-library
Whitby,L0027,2017,Southern Ontario Library Service,Public or Union Library,405 Dundas Street West ,405 Dundas Street West ,Whitby,Ontario,L1N6A1,www.whitbylibrary.ca
Whitchurch-Stouffville,L0148,2017,Southern Ontario Library Service,Public or Union Library,2 Park Drive ,2 Park Drive ,Stouffville,Ontario,L4A4K1,www.wsplibrary.ca.
White River Twp,L0375,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 458 ,123 Superior Street ,White River,Ontario,P0M3G0,www.whiteriverlibrary.com
Whitefish River FN,L0425,2017,Ontario Library Service - North,First Nations Library,52 Bay of Islands Road ,52 Bay of Islands Road ,Birch Island,Ontario,P0P1A0,www.whitefishriver.ca
Whitestone-Hagerman Memorial,L0377,2017,Ontario Library Service - North,Public or Union Library,General Delivery ,2206  Highway 124 ,Dunchurch,Ontario,P0A1G0,www.olsn.ca/whitestonelibrary
Whitewater Region,L0482,2017,Southern Ontario Library Service,Public or Union Library,20 Cameron Street P.O. Box 159 ,20 Cameron Street 159 ,Beachburg,Ontario,K0J1C0,http://libraries.whitewaterregion.ca/
Wikwemikong FN,L0426,2017,Ontario Library Service - North,First Nations Library,34-A  Henry Street ,34 Henry Street ,Wikwemikong,Ontario,P0P2J0,www.olsn.ca/wpl
Windsor,L0378,2017,Southern Ontario Library Service,Public or Union Library,850 Ouellette Avenue ,,Windsor,Ontario,N9A4M9,www.windsorpubliclibrary.com
Wollaston,L0380,2017,Southern Ontario Library Service,Public or Union Library,Hwy 620 P.O. Box 280 ,2149 Hwy 620 ,Coe Hill,Ontario,K0L1P0,www.wollastonpubliclibrary.ca
Woodstock,L0379,2017,Southern Ontario Library Service,Public or Union Library,445 Hunter Street ,,Woodstock,Ontario,N4S4G7,www.woodstock.library.on.ca
,,,,,,,,,,

Test,qqq,www,eee,rrr,ttt,uuu,iii,ooo,ppp,aaa
test2,zzz,xxx,ccc,vvv,bbb,nnn,mmm,aaa,sss,ddd
